S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
11077,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,2340000,-,1292,Strata,11 to 15,1812,Oct-17
11078,QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1490000,-,1195,Strata,31 to 35,1247,Oct-17
11079,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1348000,1343000,764,Strata,16 to 20,1757,Oct-17
11080,ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Apartment,5,RCR,99 yrs lease commencing from 2005,Resale,1,1670000,-,1313,Strata,06 to 10,1272,Oct-17
11081,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,New Sale,1,1270000,-,775,Strata,11 to 15,1639,Oct-17
11082,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,New Sale,1,1576920,-,861,Strata,41 to 45,1831,Oct-17
11083,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,New Sale,1,3021240,-,2002,Strata,26 to 30,1509,Oct-17
11084,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,2170000,-,1216,Strata,06 to 10,1784,Oct-17
11085,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1967350,-,1184,Strata,01 to 05,1662,Oct-17
11086,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,2961420,-,1625,Strata,01 to 05,1822,Oct-17
11087,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,1540000,-,980,Strata,01 to 05,1572,Oct-17
11088,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,1720000,-,1335,Strata,01 to 05,1289,Oct-17
11089,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2113000,-,1195,Strata,01 to 05,1768,Oct-17
11090,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2844000,-,1572,Strata,06 to 10,1810,Oct-17
11091,THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,2172000,-,1216,Strata,06 to 10,1786,Oct-17
11092,THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,Freehold,New Sale,1,1524645,-,850,Strata,01 to 05,1793,Oct-17
11093,THREE BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,Resale,1,3359466,-,1539,Strata,06 to 10,2183,Oct-17
11094,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,New Sale,1,855000,-,538,Strata,16 to 20,1589,Oct-17
11095,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,1810000,-,1421,Strata,16 to 20,1274,Oct-17
11096,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,5700000,-,4682,Strata,31 to 35,1217,Oct-17
11097,ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2016,New Sale,1,1526999,-,829,Strata,26 to 30,1842,Oct-17
11098,THE PEAK@BALMEG,BALMEG HILL,Condominium,5,RCR,Freehold,Resale,1,3068000,-,2605,Strata,01 to 05,1178,Oct-17
11099,DUKES RESIDENCE,DUKE'S ROAD,Apartment,10,CCR,Freehold,Resale,1,2480000,-,1615,Strata,01 to 05,1536,Oct-17
11100,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,Resale,1,1273000,-,657,Strata,06 to 10,1939,Oct-17
11101,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,5,OCR,99 yrs lease commencing from 2006,Resale,1,1750000,-,2077,Strata,01 to 05,842,Oct-17
11102,BUONA LODGE,ZEHNDER ROAD,Condominium,5,RCR,Freehold,Resale,1,1680000,-,1647,Strata,01 to 05,1020,Oct-17
11103,LUTHERAN TOWERS,TAN KIM CHENG ROAD,Apartment,10,CCR,103 yrs lease commencing from 1974,Resale,1,1675000,-,1916,Strata,06 to 10,874,Oct-17
11104,QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1415000,-,1195,Strata,11 to 15,1184,Oct-17
11105,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1280000,-,764,Strata,06 to 10,1675,Oct-17
11106,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1482000,1477000,861,Strata,01 to 05,1715,Oct-17
11107,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1070000,-,786,Strata,06 to 10,1362,Oct-17
11108,THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,Freehold,New Sale,1,2361850,-,1722,Strata,01 to 05,1371,Oct-17
11109,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,Resale,1,1060000,-,850,Strata,01 to 05,1247,Oct-17
11110,THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,Freehold,Resale,1,1250000,-,980,Strata,01 to 05,1276,Oct-17
11111,GARDENVISTA,DUNEARN ROAD,Condominium,21,RCR,99 yrs lease commencing from 1999,Resale,1,988888,-,893,Strata,01 to 05,1107,Oct-17
11112,ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2016,New Sale,1,1415999,-,786,Strata,26 to 30,1802,Oct-17
11113,ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,Freehold,Resale,1,700000,-,398,Strata,01 to 05,1758,Oct-17
11114,FABER HILLS,FABER DRIVE,Apartment,5,OCR,Freehold,Resale,1,1399988,-,1668,Strata,01 to 05,839,Oct-17
11115,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2050000,-,1399,Strata,21 to 25,1465,Oct-17
11116,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,Resale,1,2900000,-,2799,Strata,01 to 05,1036,Oct-17
11117,THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 yrs lease commencing from 2009,Resale,1,1080000,-,807,Strata,06 to 10,1338,Oct-17
11118,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,Resale,1,3843000,-,1658,Strata,06 to 10,2318,Oct-17
11119,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,New Sale,1,1355580,-,807,Strata,31 to 35,1679,Oct-17
11120,SIGNATURE PARK,TOH TUCK ROAD,Condominium,21,RCR,Freehold,Resale,1,1150000,-,1055,Strata,06 to 10,1090,Oct-17
11121,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1700000,-,1119,Strata,01 to 05,1519,Oct-17
11122,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,2980000,-,1808,Strata,16 to 20,1648,Oct-17
11123,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,944000,-,710,Strata,26 to 30,1329,Oct-17
11124,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,Resale,1,1880000,-,1055,Strata,06 to 10,1782,Oct-17
11125,THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,Condominium,3,RCR,Freehold,Resale,1,2088000,-,1270,Strata,21 to 25,1644,Oct-17
11126,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1140000,-,635,Strata,21 to 25,1795,Oct-17
11127,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,Resale,1,2880000,-,1249,Strata,01 to 05,2307,Oct-17
11128,CHATELET,MARGOLIOUTH ROAD,Condominium,10,CCR,Freehold,Resale,1,1950000,-,1389,Strata,06 to 10,1404,Oct-17
11129,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1888000,-,1109,Strata,01 to 05,1703,Oct-17
11130,GRAMERCY PARK,GRANGE ROAD,Condominium,10,CCR,Freehold,Resale,1,5864800,-,1981,Strata,11 to 15,2961,Oct-17
11131,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,New Sale,1,2553000,-,1044,Strata,01 to 05,2445,Oct-17
11132,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1445000,1440000,786,Strata,21 to 25,1833,Oct-17
11133,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,4830000,-,2788,Strata,11 to 15,1733,Oct-17
11134,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,1296000,-,1195,Strata,01 to 05,1085,Oct-17
11135,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,1123000,-,904,Strata,16 to 20,1242,Oct-17
11136,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,Resale,1,2239000,-,969,Strata,06 to 10,2311,Oct-17
11137,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,Resale,1,1900000,-,1679,Strata,01 to 05,1132,Oct-17
11138,SIGNATURE PARK,TOH TUCK ROAD,Condominium,21,RCR,Freehold,Resale,1,1100000,-,1044,Strata,01 to 05,1054,Oct-17
11139,TANGLIN VIEW,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 1997,Resale,1,1445000,-,1378,Strata,01 to 05,1049,Oct-17
11140,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,New Sale,1,860000,-,538,Strata,21 to 25,1598,Oct-17
11141,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,Resale,1,4720000,-,2637,Strata,06 to 10,1790,Oct-17
11142,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,928000,-,710,Strata,26 to 30,1306,Oct-17
11143,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,925000,-,710,Strata,26 to 30,1302,Oct-17
11144,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,885000,-,710,Strata,11 to 15,1246,Oct-17
11145,ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1768000,-,926,Strata,31 to 35,1910,Sep-17
11146,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,894000,-,484,Strata,21 to 25,1846,Sep-17
